Month,Total,Russian Federation,South Africa,United States,Canada,Colombia,Australia,Other
2006-11-01,3.017683,0.547925,0.46235,0.135899,0.085764,0.464536,0.297361,1.023848
2006-12-01,3.604933,0.922237,0.455349,0.14341,0.18388,0.370279,0.411119,1.118659
2007-01-01,3.786459,0.523414,0.992954,0.232172,0.160275,0.355139,0.416974,1.105531
2007-02-01,3.038825,0.392863,0.681258,0.21471,0.097974,0.342363,0.365913,0.943744
2007-03-01,4.108909,0.507883,0.785792,0.373617,0.203602,0.721841,0.788104,0.72807
2007-04-01,2.941634,0.554574,0.353708,0.235201,0.132858,0.70088,0.534182,0.430231
2007-05-01,3.188938,0.687147,0.668586,0.233517,0.168948,0.444734,0.420606,0.5654
2007-06-01,3.379897,0.896717,0.483508,0.222367,0.172435,0.597139,0.348201,0.65953
2007-07-01,3.677856,1.023178,0.474893,0,0,0.490069,0.603119,1.086597
2007-08-01,3.41945,0.633989,0.762958,0.196835,0.16638,0.488428,0.557987,0.612873
2007-09-01,3.630061,0.969622,0.543518,0.338244,0.155037,0.375094,0.400167,0.848379
2007-10-01,3.377829,0.927422,0.518067,0.248572,0.106154,0.462925,0.382103,0.732586
2007-11-01,4.100267,1.115524,0.661058,0.352555,0.179553,0.432841,0.343856,1.01488
2007-12-01,3.660019,0.744112,0.762599,0.357273,0.112721,0.511513,0.464953,0.706848
2008-01-01,3.795619,0.808123,1.030863,0.388352,0.129893,0.468062,0.385581,0.584745
2008-02-01,3.707317,0.646773,0.805547,0.68893,0.153144,0.337825,0.321408,0.75369
2008-03-01,3.877311,0.981584,0.797316,0.640262,0.156151,0.27248,0.282384,0.747134
2008-04-01,3.47708,0.718345,0.716682,0.635294,0.08848,0.406167,0.310292,0.60182
2008-05-01,3.221503,0.909751,0.586739,0.368339,0.116537,0.486815,0.222944,0.530378
2008-06-01,3.221355,0.73557,0.636731,0.288399,0.16601,0.373908,0.407104,0.613633
2008-07-01,3.825083,0.840559,0.768328,0.535598,0.149696,0.474561,0.380948,0.675393
2008-08-01,2.975606,0.569023,0.406306,0.322006,0.160473,0.268923,0.56653,0.682345
2008-09-01,3.053194,0.642365,0.483641,0.238482,0,0.294451,0,1.394255
2008-10-01,3.522806,0.65827,0.719313,0.510269,0,0.491846,0,1.143108
2008-11-01,3.872091,0.762195,0.899356,0.36571,0.126329,0.390012,0.524725,0.803764
2008-12-01,3.773836,0.884461,0.964424,0.391129,0,0.402272,0,1.13155
2009-01-01,3.301791,0.611673,0.797709,0.299842,0.151579,0.451582,0.441204,0.548202
2009-02-01,3.424487,0.620497,0.917659,0.377396,0.122163,0.486992,0.408648,0.491132
2009-03-01,3.300962,0.643738,0.770697,0.475805,0.060075,0.440936,0.270839,0.638872
2009-04-01,2.755949,0.597684,0.568329,0.41389,0,0.476496,0.310454,0.389096
2009-05-01,2.505393,0.707274,0.335949,0.334002,0,0.498532,0.210638,0.418998
2009-06-01,2.525692,0.793388,0.241264,0.343178,0.057824,0.394306,0.300421,0.395311
2009-07-01,2.72136,0.813068,0.30773,0.223385,0.127846,0.673466,0.246145,0.32972
2009-08-01,2.376721,0.614365,0.327353,0.406751,0.049705,0.334063,0.293785,0.350699
2009-09-01,2.786901,0.895575,0.168278,0.297422,0.114301,0.555653,0.233462,0.52221
2009-10-01,3.638549,1.199198,0.199922,0.345494,0.053814,0.781653,0.224654,0.833814
2009-11-01,3.858281,1.064353,0.380886,0.492558,0.110095,0.724302,0.343646,0.742441
2009-12-01,3.331624,0.968356,0.3048,0.413537,0.07598,0.668939,0.322809,0.577203
2010-01-01,3.389545,0.883195,0.382917,0.486618,0,0.736533,0,0.900282
2010-02-01,3.767292,1.010649,0.363184,0.639642,0,0.787371,0,0.966446
2010-03-01,3.729811,0.880265,0.360037,0.473303,0.120422,0.768712,0.225057,0.902015
2010-04-01,3.10319,0.840389,0.16273,0.509661,0,0.621572,0,0.968838
2010-05-01,3.529235,1.0853,0.243293,0.51881,0,0.617469,0,1.064363
2010-06-01,3.035851,0.984868,0.1206,0.476979,0.083098,0.443143,0.433925,0.493238
2010-07-01,2.953414,0.73195,0.172425,0.350033,0.12537,0.558085,0.292228,0.723323
2010-08-01,2.935675,0.754234,0.138385,0.569061,0.105248,0.401062,0.366362,0.601323
2010-09-01,3.028662,0.765428,0.225212,0.480588,0.149253,0.519917,0.410233,0.478031
2010-10-01,3.840496,1.029056,0.456641,0.390421,0.072471,0.681361,0.429462,0.781084
2010-11-01,3.793933,1.196503,0.318014,0.394382,0.129792,0.816643,0.324806,0.613793
2010-12-01,3.74886,0.971797,0.344694,0.424127,0.086179,0.907794,0.519594,0.494675
2011-01-01,3.21835,1.026787,0.17949,0.398186,0.159746,0.639794,0.357215,0.457132
2011-02-01,3.410906,0.88324,0.233316,0.894077,0.160554,0.622669,0.241054,0.375996
2011-03-01,3.707844,1.079204,0.302736,0.710066,0.158435,0.636334,0.348158,0.472911
2011-04-01,3.278228,0.96274,0.176849,0.71537,0.094295,0.651673,0.23891,0.438391
2011-05-01,3.756899,1.130451,0.192779,0.837735,0.171546,0.73396,0.288218,0.40221
2011-06-01,3.102812,0.715974,0.146322,0.321366,0.168457,1.06419,0.415006,0.271497
2011-07-01,3.091803,0.61087,0.164442,0.605628,0.089251,1.076096,0.290301,0.255215
2011-08-01,3.021167,0.695544,0.115456,0.538375,0.182794,0.64252,0.403454,0.443024
2011-09-01,3.538179,0.704928,0.518455,0.468204,0.154644,0.899684,0.319056,0.473208
2011-10-01,3.599227,0.518785,0.225266,0.765544,0.171531,0.958871,0.400914,0.558316
2011-11-01,3.680779,0.723227,0.214378,0.751166,0.07635,1.138016,0.406113,0.371529
2011-12-01,3.879935,0.635363,0.197875,0.674327,0.13486,1.374456,0.401391,0.461663
2012-01-01,3.590141,0.836742,0.313998,0.801941,0.086153,0.894166,0.431529,0.225612
2012-02-01,3.331313,0.803187,0.19532,0.825194,0.131753,0.759767,0.309937,0.306155
2012-03-01,3.798492,0.972229,0.18389,1.129923,0.085413,0.786136,0.324396,0.316505
2012-04-01,3.076481,0.788046,0.120896,0.791589,0.147661,0.580237,0.436877,0.211175
2012-05-01,3.312848,0.835098,0.124694,0.957947,0.156007,0.581483,0.48155,0.176069
2012-06-01,2.990543,0.923384,0.042456,0.740867,0.114346,0.684639,0.278757,0.206094
2012-07-01,2.87612,0.813225,0.047188,0.771975,0.162435,0.563035,0.282765,0.235497
2012-08-01,2.792015,0.650099,0.114736,0.729047,0.09519,0.477437,0.384371,0.341135
2012-09-01,3.438153,0.754223,0.133354,0.946218,0.157277,0.715641,0.245669,0.485771
2012-10-01,3.93556,0.919616,0.282959,0.839359,0.141467,0.79617,0.415306,0.540683
2012-11-01,4.229859,0.743767,0.252556,1.105938,0.14326,0.956207,0.446257,0.581874
2012-12-01,3.642126,0.95278,0.309518,0.779563,0,0.739844,0,0.860421
2013-01-01,3.919764,0.983101,0.166622,1.008154,0,0.812792,0,0.949095
2013-02-01,3.716306,1.00315,0.295113,0.892862,0,0.670301,0,0.85488
