start_date,end_date,updated_date,production_type,initial_ncc,updated_ncc
2018-12-31 23:00:00+00:00,2019-12-31 23:00:00+00:00,2020-06-16 02:06:00+00:00,POUNDAGE,1364.2,1335.2
2018-12-31 23:00:00+00:00,2019-12-31 23:00:00+00:00,2020-12-29 09:12:00+00:00,SOLAR,98.1,170.8
2018-12-31 23:00:00+00:00,2019-12-31 23:00:00+00:00,2019-10-24 03:10:00+00:00,VARIOUS,833.5,757.4
2018-12-31 23:00:00+00:00,2019-12-31 23:00:00+00:00,2019-08-14 09:08:00+00:00,WASTES,35.5,13.2
2018-12-31 23:00:00+00:00,2019-12-31 23:00:00+00:00,2020-04-08 09:04:00+00:00,WIND_ONSHORE,270.0,360.8
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2021-01-25 02:01:00+00:00,BATTERY,43.2,43.3
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2021-01-21 10:01:00+00:00,BIOMASS,157.1,174.3
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2021-02-15 09:02:00+00:00,EFFACEMENT,976.6,1173.9
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2020-12-04 06:12:00+00:00,FOSSIL_OIL,199.4,199.6
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2019-12-06 03:12:00+00:00,GAS_COAL_HARD_COAL,752.7,712.9
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2015-07-28 00:07:00+00:00,HYDRO_PUMPED_STORAGE,0.0,0.0
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2020-10-06 03:10:00+00:00,HYDRO_RESERVOIR,1287.8,1295.3
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2020-09-02 03:09:00+00:00,HYDRO_RUN_OF_RIVER,29.2,21.4
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2018-11-29 01:11:00+00:00,NUCLEAR,0.0,0.0
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2020-11-20 09:11:00+00:00,OTHER,3811.2,3665.1
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2020-11-12 11:11:00+00:00,POUNDAGE,1276.0,1288.1
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2021-03-11 11:03:00+00:00,SOLAR,52.2,58.9
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2021-01-05 04:01:00+00:00,VARIOUS,132.2,126.8
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2020-05-07 00:05:00+00:00,WASTES,14.2,14.2
2019-12-31 23:00:00+00:00,2020-12-31 23:00:00+00:00,2021-03-16 04:03:00+00:00,WIND_ONSHORE,545.2,633.2
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2021-03-04 10:03:00+00:00,BATTERY,93.6,93.7
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2020-07-06 03:07:00+00:00,BIOMASS,73.3,73.3
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2021-03-09 11:03:00+00:00,EFFACEMENT,957.6,987.4
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2021-01-04 04:01:00+00:00,FOSSIL_OIL,197.0,186.3
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2019-12-06 03:12:00+00:00,GAS_COAL_HARD_COAL,874.1,861.3
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2015-07-28 00:07:00+00:00,HYDRO_PUMPED_STORAGE,0.0,0.0
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2020-10-06 03:10:00+00:00,HYDRO_RESERVOIR,1189.6,1279.4
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2021-03-02 09:03:00+00:00,HYDRO_RUN_OF_RIVER,32.1,25.7
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2016-09-23 08:09:00+00:00,NUCLEAR,0.0,0.0
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2020-11-20 09:11:00+00:00,OTHER,2807.0,2717.3999999999996
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2020-06-16 02:06:00+00:00,POUNDAGE,1256.7,1258.0
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2021-03-09 05:03:00+00:00,SOLAR,58.4,67.1
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2021-01-08 04:01:00+00:00,VARIOUS,965.9,1007.6
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2020-09-07 02:09:00+00:00,WASTES,6.5,1.0
2020-12-31 23:00:00+00:00,2021-12-31 23:00:00+00:00,2021-03-10 01:03:00+00:00,WIND_ONSHORE,662.9,769.1
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2020-12-07 04:12:00+00:00,BATTERY,25.4,25.5
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2020-07-06 03:07:00+00:00,BIOMASS,73.3,73.3
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2021-02-10 03:02:00+00:00,EFFACEMENT,165.2,158.2
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2021-01-04 04:01:00+00:00,FOSSIL_OIL,197.0,186.3
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2019-12-06 03:12:00+00:00,GAS_COAL_HARD_COAL,900.0,840.5
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2015-07-28 00:07:00+00:00,HYDRO_PUMPED_STORAGE,0.0,0.0
