Date,Country,Buyer,Seller,Techno,Project size (MW),Tenor (years),Offtaker,Remarque,Source,Location,Technology Remark,Offtaker category
2020-01-01,Norway,Eramet Norway,Macquarie’s Green Investment Group,Onshore Wind,47,18,Corporate,The PPA is backed by guarantees issued under the Power Purchase Guarantee Scheme administered by The Norwegian Export Credit Guarantee Agency (GIEK). ,Energy Rev,Rogaland,,Eramet Norway
2020-01-01,Norway,Eramet Norway,Macquarie’s Green Investment Group,Onshore Wind,80,18,Corporate,The PPA is backed by guarantees issued under the Power Purchase Guarantee Scheme administered by The Norwegian Export Credit Guarantee Agency (GIEK). ,Energy Rev,Agder,,Eramet Norway
2020-01-01,United States,California Imperial Irrigation District,Controlled Thermal Resources,Geothermal,40,25,,Will see the construction of the Hell's Kitichen Geothermal Facility in the Salton Sea area of Southern California. Operational by 2023.,Renewables Now,California,,California Imperial Irrigation District
2020-01-01,Poland,Commercial Metals Company,Statkraft,Unknown,,10,Corporate,"The agreement fixes the price for 20 percent of CMC Poland’s power consumption, starting in 2021. CMC and Statkraft developed together a customized product suited for the needs of energy-intensive industry. The financially settled PPA will co-exist with the physical supply contract, while providing a fixed price to CMC. Statkraft is able to provide this contract on the back of its Polish renewable PPA portfolio.",https://finance.yahoo.com/news/statkraft-signs-10-financial-power-070000728.html,,,Commercial Metals Company
2020-01-01,Italy,Acciaierie Venete,DXT Commodities,Solar,,5,Corporate,,,,,Acciaierie Venete
2020-01-01,United States,Silicon Valley Clean Energy,Ormat Technologies,Geothermal,7,10,,"Joint deal with Monterey Bay Community Power. Will each purchase 7MW from the forthcoming 30MW Casa Diable-IV geothermal project in Mammoth Lakes, California.",Globe News Wire,California,,Silicon Valley Clean Energy
2020-01-01,United States,Monterey Bay Community Power,Ormat Technologies,Geothermal,7,10,,"Joint deal with Silicon Valley Clean Energy. Will each purchase 7MW from the forthcoming 30MW Casa Diable-IV geothermal project in Mammoth Lakes, California.",Globe News Wire,California,,Monterey Bay Community Power
2020-01-01,Spain,AB InBev,BayWa Re,Solar,200,10,Corporate,"Under a 10-year Virtual Power Purchase agreement (VPPA) AB InBev will source the power from two to-be-constructed solar farms which have a combined power output of close to 200MW. BayWa is expected to add and connect the new solar capacity by March 1, 2022.",Energy Rev,,,AB InBev
2020-01-01,Spain,Shell Energy,ib vogt,Solar,180,,Utility,The Talanx Group has acquired the plant in January 2019.,ib vogt news,Extremadura,,Shell Energy
2020-01-01,Spain,Kutxabank SA,Iberdrola,Solar,500,10,Corporate,,,,,Kutxabank SA
2019-12-01,Sweden,Large international utility,European Energy,Onshore Wind,53.2,10,Utility,The asset was sold to a German-based asset management company in December 2019.,Renews,north of Linkoping,,Large international utility
2019-12-01,Spain,Statkraft,Solaria Energia,Solar,252,10,Utility,Includes 5 solar parks with COD in 2020,Statkraft press release,,,Statkraft
2019-12-01,United States,CleanPower SF,EDF Renewable North America,Solar,100,20,,From the Maverick 6 Solar Porject at the Palen Solar site in Riverside California. Expected to be online by the end of 2021.,Solar Power World,California,,CleanPower SF
2019-12-01,Spain,EDF,Foresight,Solar,50,10,Utility,COD 2020,Renewables Now,"Puebla de Guzman, Andalusia",,EDF
2019-12-01,Spain,Alpiq,Solaria Energia,Solar,105,10,Utility,,,,,Alpiq
2019-12-01,Spain,Nace Energia,GreenMont Energy Spain,Solar,40,7,Utility,,,,,Nace Energia
2019-12-01,France,Engie Solutions,Engie,Solar,18,15,Utility,COD June 2021. Built on agricultural land.,Engie news,Fanjeaux,,Engie Solutions
2019-12-01,United States,University of Illinois/Prarieland Energy,Sol Systems,Solar,12.1,20,,Will support the construction of a new solar farm at the Unviersity of Illinois Urbana-Champaign campus,Solar Power World,Illinois,,University of Illinois/Prarieland Energy
2019-12-01,Spain,Amazon,Encavis,Solar,149,10,Corporate,COD Q3 2020,https://www.encavis.com/en/news/press-releases/press-release/encavis-ag-signs-power-contract-with-amazon/,Cabrera,,Amazon
2019-12-01,Sweden,Amazon,BP,Onshore Wind,149,,Corporate,COD 2022,PV Magazine,,,Amazon
2019-12-01,Spain,Amazon,BP,Solar,50,,Corporate,COD 2021,PV Magazine,,,Amazon
2019-12-01,Germany,Covestro,Orsted,Offshore Wind,100,10,Corporate,"Indexed fixed price, 3 offshore wind farm Borkum Riffgrund with COD in 2025.",,,,Covestro
2019-12-01,France,Crédit Mutuel Alliance Fédérale,Voltalia,Solar,10,25,Corporate,,,,,Crédit Mutuel Alliance Fédérale
2019-12-01,Germany,Statkraft,Enerparc,Solar,52,,Utility,COD 2020. Sunnic will handle the short-term marketing on the spot market.,PV Magazine,Bavaria,,Statkraft
2019-12-01,United States,Under Armour,Sol Systems,Solar,3,12,,Will be supplied by a solar plant in Prince Georges County. Was already operational at the time of announcement.,Renewables Now,Maryland,,Under Armour
2019-12-01,United States,Shell Energy North America,EDF Renewable North America,Solar,132,15,,"From the Maverick 7 Solar Porject at the Palen Solar site in Riverside, California. Expected completion by the end of 2021.",Solar Power World,California,,Shell Energy North America
2019-12-01,Spain,Nexus Energía,X-Elio,Solar,50,14,Utility,COD Q2 2021,Montel News,,,Nexus Energía
2019-12-01,Great Britain,Ibstock Brick,Lightsource BP,Solar,4.9,25,Corporate,,,,,Ibstock Brick
2019-11-01,United States,,Innergex,Solar,200,,,Will see the construction of the Hillcrest Solar Park in Brown County.,Renewables Now,Ohio,,
2019-11-01,Spain,Galp,Grenergy,Solar,200,12,Corporate,,,,,Galp
2019-11-01,United States,Facebook,Apex Clean Energy,Solar,61.6,,,From the Altavista Solar Project in Campbell County. Expected online by end of 2020.,Solar Power World,Virginia,,Facebook
2019-11-01,Spain,Audax Renovables,Innogy,Solar,50,10,Utility,Alarcos solar plant COD 2020,news.innogy.com,,,Audax Renovables
2019-11-01,United States,Goldman Sachs Renewable Power Group,SunPower Corp,Solar,13,,,Will see the installation of a solar project at JFK airport under a project led by the Port Authority of New York and New Jersey.,Renewables Now,New York,"13 solar, 7.5 storage",Goldman Sachs Renewable Power Group
2019-11-01,United States,Clorox,Enel Gren Power,Solar,70,12,,Virtual PPA. Roadrunner Solar Porject in Texas currently underconstruction. This agreement is for the second phase of the project expected by the end of 2020.,Solar Power World,various,,Clorox
