Plant Name,State,Owner,Latitude,Longitude,Capacity (mmtpa)
Darwin,Northern Territory,Santos Limited 44%/Eni S.p.A. 11%/INPEX 11%/SK E&S 25%/Tokyo Electric Power Company 6%/Tokyo Gas 3%,-12.5221,130.8663,3.24
Gorgon,Western Australia,Chevron (47.3%)/ ExxonMobil (25%)/Shell (25%)/Osaka Gas (1.25%)/Tokyo Gas (1%)/JERA (0.417%),-20.79,115.44965,15.6
North West Shelf,Western Australia,BHP Billiton/BP/Chevron/Japan Australia LNG/Shell/Woodside,-20.59424,116.7767,16.3
Pluto,Western Australia,Woodside Petroleum (90%)/Tokyo Gas (5%)/Kansai Electric (5%),-20.6128,116.76556,4.3
Prelude FLNG,Western Australia,Shell (67.5%)/Inpex (17.5%)/CPC (5%)/Kogas (10%),-15.2539252,123.5381736,3.6
Queensland Curtis,Queensland,BG Group 75%/CNOOC 25%,-23.7693,151.199,8.5
Wheatstone,Western Australia,Chevron (64.14%)/Kufpec (13.4%)/Woodside Petroleum (13%)/Tepco (8%)/Kyushu Electric Power (1.46%),-21.6978845,115.001141,8.9
