Month,Algeria,Australia,Indonesia,Malaysia,Nigeria,Qatar,Russian Federation,Trinidad and Tobago,United States
2013-06-30 0:00:00,1.463562854,2.380000745,2.086933472,2.715716943,1.467102256,8.663880831,0.997128654,1.789434558,0
2013-07-31 0:00:00,1.455218057,2.584546688,1.98478608,2.711239963,1.311557171,9.335389702,1.070746197,1.985079615,0
2013-08-31 0:00:00,1.169447395,2.516052053,2.157796341,2.842130043,2.288367893,9.35388128,1.134043354,1.793587177,0
2013-09-30 0:00:00,1.0320131,2.637662361,2.142022053,2.696065934,2.33914304,9.101983038,1.157021238,1.530762103,0
2013-10-31 0:00:00,0.964955411,2.369813661,2.237403661,2.815537396,2.23421883,8.367481173,1.055395794,1.860626104,0
2013-11-30 0:00:00,0.883699268,2.538564828,2.140926588,3.050194875,2.100750266,7.82390275,1.320187228,1.525531281,0
2013-12-31 0:00:00,1.630816286,2.808810012,2.523330803,3.212464772,2.596070786,9.197758883,1.406342665,1.660264066,0
2014-01-31 0:00:00,1.671141067,2.703364542,2.064606134,2.964020989,2.283346802,9.934070541,1.342678843,1.608627414,0
2014-02-28 0:00:00,1.36911874,2.356277737,2.0879645,2.881460972,1.844601769,9.138062516,1.158227548,1.636973662,0
2014-03-31 0:00:00,1.441974449,2.602533333,2.096945053,2.875013229,2.33103714,8.712375979,1.417410878,2.000019803,0
2014-04-30 0:00:00,1.673298279,2.629183302,2.174066126,2.481302195,2.164553402,8.378183328,1.243891883,1.631238242,0
2014-05-31 0:00:00,1.614889223,2.383823549,1.846437114,2.841604827,2.410631779,8.896654981,1.155653643,1.705819656,0.084274268
2014-06-30 0:00:00,1.365657361,2.834605144,2.034796627,2.905252871,2.430840043,9.148659252,1.147322431,1.716752628,0
2014-07-31 0:00:00,1.356266608,3.08138537,2.236273366,2.12807913,2.181132658,9.098790611,1.083700893,1.789215837,0.084274268
2014-08-31 0:00:00,1.218258813,2.843581539,2.240973128,2.961145555,2.46996592,9.105380209,1.049861385,1.997480174,0.084274268
2014-09-30 0:00:00,1.327666578,2.556355989,1.763798542,2.844130319,1.921838008,8.321748245,1.076874398,1.803737682,0.084274268
2014-10-31 0:00:00,1.502685411,2.575253756,1.822422771,3.039982686,2.501185721,8.398168442,1.144764232,1.72162487,0.084274268
2014-11-30 0:00:00,1.641474148,2.770240659,2.065904005,2.86676036,2.387359963,8.986970979,1.223347157,1.672340548,0
2014-12-31 0:00:00,1.3215205,2.609340022,1.944736417,3.274813631,2.274468941,8.523316562,1.317918979,2.034696639,0
2015-01-31 0:00:00,1.199679235,3.010189256,2.104516827,2.8829276,2.409377569,9.917851868,1.343797564,1.790702524,0
2015-02-28 0:00:00,0.681543849,2.84578991,1.88213718,2.729083436,2.025798328,8.624904464,1.241884587,1.650913278,0
2015-03-31 0:00:00,1.552839242,2.692834256,2.122124371,3.059151244,2.215504078,8.524178804,1.330460497,1.625914386,0
2015-04-30 0:00:00,1.573516918,3.222304876,2.100039594,2.477938889,2.150560916,9.154045367,1.334509519,1.515152813,0
2015-05-31 0:00:00,1.83138618,1.925699842,1.693192268,2.608919315,2.547078864,8.841601313,1.224944295,1.662559096,0.084274268
2015-06-30 0:00:00,1.425195128,3.404312085,1.902287364,2.792223129,2.288233058,9.318229571,0.895276083,1.517089265,0.084274268
2015-07-31 0:00:00,1.566134065,3.555298153,2.32649561,2.906619516,2.318728271,9.753835848,0.800156378,1.436323898,0.084274268
2015-08-31 0:00:00,1.191962712,3.927463348,2.195839941,2.154548906,2.129394229,9.036432569,1.150670742,1.56227765,0.084274268
2015-09-30 0:00:00,1.176591677,3.355867992,2.239042674,2.757240887,2.508138841,9.480699651,1.257653605,1.488748562,0.084274268
2015-10-31 0:00:00,1.18948453,4.012467913,2.404065752,2.993008426,2.307110584,8.096241907,1.221000984,1.370559098,0.084274268
2015-11-30 0:00:00,1.521055887,3.814692319,2.421038892,2.861430507,2.35386072,9.375054643,1.324174032,1.449440384,0
2015-12-31 0:00:00,1.751292327,4.330222294,2.38730066,3.149034765,1.878161141,8.853598963,1.255095406,1.588331949,0
2016-01-31 0:00:00,1.503212393,4.337120462,2.377446231,2.892548921,2.347883636,9.815993412,1.403129664,1.708202175,0
2016-02-29 0:00:00,1.195000125,4.56834073,2.241381418,2.724713667,1.893040381,8.545265029,0.719832549,1.352883973,0.054530547
2016-03-31 0:00:00,1.61093534,4.81550001,2.372976242,2.745525932,1.757919782,8.467192252,1.407890874,1.319763444,0.197134363
2016-04-30 0:00:00,1.133782572,4.522654285,2.185945956,2.774004416,2.090826521,8.903849062,1.246288798,1.317738888,0.284707776
2016-05-31 0:00:00,1.217761136,4.199113667,1.888571693,2.346141728,2.304037315,9.05047888,1.332704585,1.387341472,0.275597087
2016-06-30 0:00:00,1.334647584,4.796342909,2.407691205,2.880526185,1.972396933,9.687287859,0.976005238,1.209476897,0.462590269
2016-07-31 0:00:00,1.519473995,5.183865354,2.282825822,2.610363056,2.277726242,9.54179815,0.978324229,1.388095598,0.43142002
2016-08-31 0:00:00,1.301874631,5.779120556,2.258057982,2.3464471,1.550808152,9.299429658,1.135447796,0.919272876,0.732212469
2016-09-30 0:00:00,1.135858645,5.515756968,2.255802457,2.674353815,2.230512079,9.45188311,1.256978265,1.206692054,0.471025043
2016-10-31 0:00:00,1.350801315,5.992493333,2.289203039,2.868385998,2.106227488,9.060272482,1.237642266,1.308179238,0.083676747
2016-11-30 0:00:00,1.158160112,6.188311589,2.289426975,3.116963494,2.294410572,8.0709633,1.397597067,1.243310887,0.903321043
2016-12-31 0:00:00,1.214767892,5.818055219,2.34527082,3.514126374,2.597242394,8.816971672,1.424549674,1.466175933,1.12889799
2017-01-31 0:00:00,1.161248603,6.269989976,2.203619815,3.155758968,2.396406672,9.435968507,1.327443212,1.48139707,1.418361175
2017-02-28 0:00:00,1.386832433,5.536114649,2.225298852,2.950061822,2.105685718,8.544692232,1.324291824,1.193658128,1.451898357
2017-03-31 0:00:00,1.669403072,5.79913172,2.260067114,3.14147636,2.270089228,8.897071782,1.322804626,1.271833961,1.21477546
2017-04-30 0:00:00,1.289516566,5.492031093,1.585118797,2.669737588,2.571169409,9.406430487,1.422540566,1.179172633,1.41835071
2017-05-31 0:00:00,1.350420084,6.860175876,1.948360364,2.692469533,2.69078336,8.972681534,1.2595419,1.030599427,1.692727088
2017-06-30 0:00:00,1.342279892,6.630543042,2.159802326,3.217290979,2.331209024,9.137788914,0.984948364,1.320948851,1.478279955
2017-07-31 0:00:00,1.402119022,7.305912066,2.23574523,2.933456588,2.63567223,9.207315445,1.048662927,1.381836479,1.522082051
2017-08-31 0:00:00,1.451221381,6.888770079,2.455352113,3.342251418,2.362612249,9.157214029,1.147875751,1.336625913,1.297604543
2017-09-30 0:00:00,1.425471366,5.66275649,1.980238258,2.821084081,2.19084261,8.498321915,1.058506709,1.258233208,1.543712549
2017-10-31 0:00:00,1.582177461,6.773051898,2.479007578,3.105771947,2.481495539,8.729510517,1.501313167,1.128333235,2.281978701
2017-11-30 0:00:00,1.601409789,7.155884738,2.016687478,3.130095687,2.358982026,8.408198475,1.316234252,1.448591376,2.167496132
2017-12-31 0:00:00,1.334191076,7.253727867,2.496317871,3.549760203,2.171623136,8.981561098,1.804382851,1.653192906,2.491247516
2018-01-31 0:00:00,1.417220186,7.607071593,2.238992556,3.077910116,2.651351978,10.20795381,1.938079429,1.592758739,2.071532884
2018-02-28 0:00:00,1.080778327,7.13255555,2.163082103,2.547896746,2.379314193,8.134601603,1.907460331,1.50128405,2.116549533
2018-03-31 0:00:00,1.222174749,7.371552768,2.160007615,2.983202082,2.474456174,8.681967795,2.121499408,1.559749728,2.505425227
2018-04-30 0:00:00,0.95786031,7.292507302,1.982973182,2.66704296,2.303252599,8.393365482,1.947106175,1.365997994,2.573009477
2018-05-31 0:00:00,1.356578686,6.635152028,2.323400364,2.714974179,2.444079396,9.005959184,1.935492981,1.432749195,2.756333236
2018-06-30 0:00:00,1.329166865,7.488299364,2.043751508,2.230121161,1.773257583,8.63234046,1.85026427,1.645004113,2.012448901
2018-07-31 0:00:00,0.769541033,8.768754835,2.255160592,2.21307719,1.99407077,9.3390556,1.560778987,1.618524695,2.97556926
2018-08-31 0:00:00,0.896555503,8.334212978,2.156371957,2.528611113,2.682512864,9.663115236,2.173806172,1.635297828,2.618651485
2018-09-30 0:00:00,1.019591804,8.283788973,1.897924319,2.41305539,2.605713928,8.719319613,2.557329027,1.296298064,2.503292551
2018-10-31 0:00:00,1.23267118,8.92655823,2.180916786,2.93913819,2.362346223,9.162631831,2.761599741,1.270808128,2.589515116
2018-11-30 0:00:00,1.296774539,9.0943573,2.101816476,3.48544107,1.926246874,8.676264204,2.646470218,1.48571296,3.147692426
2018-12-31 0:00:00,1.572678176,9.167274242,2.217878446,3.411409895,2.535362177,8.929121576,3.233324733,1.724392462,3.567825057
2019-01-31 0:00:00,1.000703245,8.788974881,2.06925334,3.364934068,2.730792346,10.07902036,3.018979104,1.633552988,3.52958956
2019-02-28 0:00:00,1.403037802,7.651248207,1.840576317,2.478569509,1.934966213,9.177416075,3.410186653,1.528372807,2.811223932
2019-03-31 0:00:00,1.897678695,8.58474174,1.649896142,3.073223646,2.668635777,8.708343247,3.626760541,1.686561113,3.952345795
2019-04-30 0:00:00,1.705040472,9.299448831,1.558269742,2.925494748,2.495483167,8.047969175,3.482542556,1.416549666,3.714663897
2019-05-31 0:00:00,1.398574966,8.592015326,1.959486587,2.920370283,1.901731174,9.177994356,3.258136329,1.562692296,4.169943182
2019-06-30 0:00:00,1.219778358,8.747191569,2.007019025,3.088865234,1.931176252,9.245667219,3.161351655,1.666383326,4.083899275
