Zone,EU28,Other Europe,North America,South America,China,Other Asia,Oceania,Total
2013,17019804,325079,2506000,0,3200000,168941,0,23219824
2014,18058077,569134,2875000,58000,4800000,218551,0,26578762
2015,21106161,598730,2232005,90000,6400000,1846684,22500,32296080
2016,21703645,704194,2432360,0,9600000,2389496,27500,36857195
2017,24035765,907727,2550410,82409,12800000,3263518,29500,43669329
2018,26054075,989791,2781375,457412,17600000,4830678,33375,52746706
