Month,Belgium,China,France,India,Italy,Japan,Netherlands,South Korea,Spain,Turkey,United Kingdom
2013-01-31 0:00:00,0.25490969,2.377921036,0.808927975,1.625167784,0.570563118,10.98285217,0,6.232336033,1.696771188,0.627048153,0.444360923
2013-02-28 0:00:00,0.253332062,1.986358941,0.633531515,1.421948956,0.531552133,10.64606405,0,5.720261662,1.377370231,0.793722142,0.286322095
2013-03-31 0:00:00,0.170332017,1.886740387,0.668310651,1.387978834,0.442120314,11.1939135,0,5.668779375,1.336920454,0.616514455,0.57586392
2013-04-30 0:00:00,0.255409973,1.563475993,0.700416233,1.794409213,0.440955831,9.248492127,0.130130231,4.799351259,1.272429647,0.474798935,1.220471554
2013-05-31 0:00:00,0.364307116,1.976925261,0.934264395,1.568381365,0.437983992,8.553214423,0,3.856216886,1.266093447,0.68480523,1.510023442
2013-06-30 0:00:00,0.341086928,1.412021333,0.832477906,1.473914917,0.441541424,9.016010106,0,4.104180308,1.386694522,0.314646561,1.286864682
2013-07-31 0:00:00,0.258922312,2.163793668,0.60124512,1.228925814,0.612877662,9.819522781,0.139196927,3.371570503,1.320489285,0.227259982,0.727322388
2013-08-31 0:00:00,0.425379421,2.257744188,0.712659786,1.645469293,0.343649887,10.12255849,0.263580085,4.112212669,1.363907442,0.300906042,0.563780301
2013-09-30 0:00:00,0.255634826,2.04388271,0.767608302,1.294269475,0.329402238,9.292094008,0.091959226,3.769187176,1.767514924,0.305091063,0.562562362
2013-10-31 0:00:00,0.296219288,1.933173328,0.56076504,1.582935753,0.582387438,9.679056177,0.091823822,4.328690157,0.823697935,0.389013329,1.104303279
2013-11-30 0:00:00,0.255500767,2.187467049,0.706750301,1.634109896,0.29959307,10.12170636,0.100683698,4.338955477,1.521824425,0.302684849,1.109105311
2013-12-31 0:00:00,0.170071821,3.387819612,0.663480971,1.440870335,0.454554171,10.8111332,0.100925973,5.35278651,1.201675263,0.971247605,0.287253194
2014-01-31 0:00:00,0.258352562,2.91093973,0.74029458,1.360148425,0.338169321,10.77741558,0.083729268,6.548629213,1.695190346,1.033328143,0.044981993
2014-02-28 0:00:00,0.275431039,2.323895978,0.387724775,1.400448285,0.365597182,10.50198865,0,5.524387201,1.422365346,0.579518226,0.448154786
