Country,Oil,Gas,Coal,Nuclear,Hydro,Solar,Wind,Other,Geothermal & Biomass
1985,271.63222338182,222.893131775825,1139.3207018898,695.521784221053,502.994540671414,0,0.0574,40.3039261672813,10.961412738
1986,266.063009415828,229.242566419666,1175.15177959574,738.838333684211,486.093183502182,0,0.1336,37.9342114981167,13.018809556
1987,265.716013077097,239.925172804959,1191.9518960085,768.928498778947,529.505659403657,0,0.1908,35.690072285223,12.875301294
1988,249.58189641348,238.769984935081,1173.29374199649,846.228284347369,567.469001361697,0,0.3297,41.0026370944675,13.678099804
1989,280.627106985358,263.965507256472,1209.90990243845,886.824425442105,493.805930669232,0,0.5154,43.8701059890868,13.537275893
1990,281.092681476876,255.145515354839,1218.468435,894.411684210526,502.457150374747,0,0.779460414888889,41.4724514824211,18.9528526315789
1991,277.87201200229,253.846239186507,1209.13982488668,917.79547368421,513.091774499394,0,0.980027987838384,37.8254799521617,19.549433
1992,270.234855903631,245.007676637233,1158.96841993199,924.220578947369,529.65664973495,0,1.53504807975758,40.0023188960724,20.7096029999999
1993,240.487343521513,267.451451407622,1092.03848275799,960.689894736842,550.466764678182,0.032383,2.28482609212121,38.3980160964357,22.879095
1994,232.167515733032,295.151516970039,1090.62825011568,952.128315789474,557.196628529091,0.0376885,2.97923570282828,38.3112237997986,24.0178997093737
1995,248.369944719469,319.664503440943,1093.77002629545,976.941210526316,564.88990936202,0.04684,3.86302920121212,45.5431724542117,26.4986314554852
1996,239.207913421695,365.273518266383,1093.68643909112,1032.18147368421,548.086294097576,0.0538114111111111,4.82858524525253,43.8663132642649,26.6801998379573
1997,226.665176593378,415.818185973972,1051.35660929178,1042.49994736842,567.678971968485,0.0639262444444444,7.29549295555556,46.1536061680595,31.6635193941627
1998,232.092298085694,447.167951236441,1054.51934271487,1033.89556648082,593.904161671927,0.0870885,11.1764791351515,57.4612328332127,36.1150418430154
1999,215.534228700328,522.82530711649,1018.20034987525,1040.45326170751,598.180852939661,0.0911980555555555,14.2443217667677,61.7977590196903,38.0996001734894
2000,192.969309388004,557.227195935463,1073.2848968149,1048.82060530045,617.663519964201,0.13447325,22.4547142028283,65.3968397688999,42.3312482954576
2001,188.577278875833,577.534601829801,1088.29370106454,1082.00586723857,612.040961567183,0.1702025,26.9342866553535,64.586825678709,44.9546686430853
2002,203.960105035699,612.939928039148,1090.23109099866,1095.45517189764,563.942443396988,0.276755005555556,36.4259493147475,64.6809936198425,50.6563361786459
2003,182.733450605821,670.7788350804,1151.56186730148,1104.80978648791,529.568502549454,0.468697744444444,44.5311522856566,69.1557377631303,57.9809707950342
2004,162.320901158808,720.298730246795,1123.56578254361,1122.659949958,570.153394131966,0.751097872888889,59.296786859596,70.2118659086743,68.8011415055635
2005,156.073145685951,779.05459654936,1115.05655319839,1110.19465357996,571.725190888241,1.48638324611111,71.0967493651913,76.5133454241774,78.6731787585391
2006,143.904819270503,791.962238895544,1158.47206613467,1108.07074330095,561.908876356815,2.52408781388889,83.1641398783648,76.5101905017215,89.2772577529487
2007,124.662917985712,860.120175051098,1174.03255269217,1055.81265569694,563.963604554286,3.81570481944444,105.713193767021,77.1026657518667,99.46983003334
2008,119.279246069956,912.014357915733,1095.9676869213,1055.09797628213,593.033139126176,7.50107113222222,121.353901497536,74.2727978016708,110.044741106731
2009,108.5101647592,847.508737774028,1004.34401416118,1004.69272590963,589.744874451402,14.1928350616728,135.383228613187,69.5685585252683,120.746552682855
2010,92.5709941297397,886.117760526645,1016.07303894751,1032.04807183144,649.800166790931,23.2634360167678,153.443496864176,75.55521166462,136.890938334948
2011,77.4714095632118,831.98707594282,1062.39111460098,1024.16560869557,569.648631978939,46.7135493122146,186.657403230905,74.2228381323587,146.16513560265
2012,75.7492037736167,708.266767104608,1116.99000943815,998.366908881839,625.806106585447,71.8699381638955,214.837420064032,78.5195194106444,161.993771265106
2013,65.5223045007166,632.589010154319,1088.45786668495,986.485437185387,661.636666516838,86.9351168023531,248.093911753321,79.1347214595011,171.738075265267
2014,62.6268096867538,595.330593480608,1016.20749133305,992.701924676197,644.059662023717,98.8356940062511,264.813830959907,80.3844812403254,183.522933203397
2015,66.0567058537317,611.046309038373,992.500707536053,968.267897379336,635.8995302683,109.883453957752,318.806956873139,83.7606770635805,196.657206302359
2016,65.2685938153054,714.213481537435,924.017072501313,942.170013989608,651.434839868481,113.95246301074,322.924441620165,87.5583577004729,201.557709351697
2017,61.8820177121777,785.967134525304,890.383744496311,936.122945368117,584.778231837807,124.47469440741,383.934491784488,86.3683112598128,208.271195678882
2018,56.0763953028327,729.892255468861,856.63918742157,935.810069321514,645.255444774225,138.556569960504,402.775106904172,87.1475214327065,215.007938698983
2019,51.7858372737436,768.111096652833,698.626479667391,928.467472512659,632.538301671477,154.66345866269,461.587610396338,77.2333353316455,220.33526197031
